Prompt;"""This is madness."" ""No, THIS IS ______!""";
Prompt;And would you like those buffalo wings mild, hot, or ______?;
Prompt;Behind every powerful man is ______.;
Prompt;Come to Dubai, where you can relax in our world famous spas, experience the nightlife, or simply enjoy ______ by the poolside.;
Prompt;Don't worry kid. It gets better. I've been living with ______ for 20 years.;
Prompt;Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.;
Prompt;I have a strict policy. First date, dinner. Second date, kiss. Third date, ______.;
Prompt;I went to the desert and ate of the peyote cactus. Turns out my spirit animal is ______.;
Prompt;I work my ass off all day for this family, and this is what I come home to? ______!?;
Prompt;I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______.;
Prompt;I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______.;
Prompt;If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?;
Prompt;James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.;
Prompt;Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.;
Prompt;My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.;
Prompt;Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.;
Prompt;The six things I could never do without: oxygen, facebook, chocolate, netflix, friends, and ______ LOL!;
Prompt;This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______.;
Prompt;To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out.;
Prompt;Tonight we will have sex. And afterwards, If you'd like, a little bit of ______.;
Prompt;When I was a kid, we used to play Cowboys and ______.;
Prompt;Why won't you make love to me anymore? Is it ______?;
Prompt;Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got ______.;
Prompt;You are not alone. Millions of Americans struggle with ______ every day.;
Prompt;You know, once you get past ______, ______ ain't so bad.;Pick 2
Prompt;You Won't Believe These 15 Hilarious ______ Bloopers!;
;;
Response;A bass drop so huge it tears the starry vault asunder to reveal the face of God.;
Response;A bowl of gourds.;
Response;A buttload of candy.;
Response;A constant need for validation.;
Response;A man who is so cool that he rides on a motorcycle.;
Response;A peyote-fueled vision quest.;
Response;A pizza guy who fucked up.;
Response;A possible Muslim.;
Response;A self-microwaving burrito.;
Response;A turd.;
Response;A whole lotta woman.;
Response;An oppressed people with a vibrant culture.;
Response;An overwhelming variety of cheeses.;
Response;Bathing in moonsblood and dancing around the ancient oak.;
Response;Being a terrible mother.;
Response;Being John Malkovich.;
Response;Being popular and good at sports.;
Response;Beloved television star Bill Cosby.;
Response;Breastfeeding a ten year old.;
Response;Bullets.;
Response;Cancer.;
Response;Cool, relatable cancer teens.;
Response;Crippling social anxiety.;
Response;Crying and shitting and eating spaghetti.;
Response;Cute boys.;
Response;Eating together like a god damn family for once.;
Response;Ejaculating inside another man's wife.;
Response;Every ounce of charisma left in Mick Jagger's tired body.;
Response;Filling a man's anus with concrete.;
Response;Forgetting grandma's first name.;
Response;Generally having no idea what's going on.;
Response;Getting all offended.;
Response;Getting shot out of a cannon.;
Response;Growing up chained to a radiator in perpetual darkness.;
Response;Gwyneth Paltrow's opinions.;
Response;Immortality cream.;
Response;Important news about Taylor Swift.;
Response;Kale.;
Response;Like a million alligators.;
Response;Meaningless sex.;
Response;Morpheus.;
Response;Never having sex again.;
Response;No longer finding any Cards Against Humanity card funny.;
Response;One unforgettable night of passion.;
Response;Our new Buffalo Chicken Dippers®!;
Response;Owls, the perfect predator.;
Response;Peeing into a girl's butt to make a baby.;
Response;Pussy.;
Response;Rabies.;
Response;Reading the entire End-User License Agreement.;
Response;Ripping a dog in half.;
Response;Robots who just want to party.;
Response;Setting my balls on fire and cartwheeling to Ohio.;
Response;Shapes and colors.;
Response;Shitting all over the floor like a bad, bad girl.;
Response;Such a big boy.;
Response;Sucking all the milk out of a yak.;
Response;Sudden penis loss.;
Response;Teaching a girl how to handjob the penis.;
Response;Texas.;
Response;The all-new Nissan Pathfinder with 0.9% APR financing!;
Response;The amount of gay I am.;
Response;"The color ""puce"".";
Response;The dentist.;
Response;The eighth graders.;
Response;The haunting stare of an Iraqi child.;
Response;The male gaze.;
Response;The power of the Dark Side.;
Response;The sweet song of sword against sword and the braying of mighty war beasts.;
Response;Throwing stones at a man until he dies.;
Response;Total fucking chaos.;
Response;Treasures beyond your wildest dreams.;
Response;Turning the rivers red with the blood of infidels.;
Response;Two whales fucking the shit out of each other.;
Response;Unsheathing my massive horse cock.;
Response;Walking into a glass door.;
Response;Whatever you wish, mother.;
